id,x,y,width,height
03zfU3IwWmymKoaWnwFNaY,1950,450,2250,1963
04FfqGvZJ9oUBGRVrq2FE5,1950,599,2250,1963
09jTPeDoSuJLLAwFGNUKCX,1950,748,2250,1963
0C2grVR8DnJnL8rg7OP6Zm,1950,897,2250,1963
0Em8m9kRctyH9S3MTXAHvY,0,314,2250,1963
0KFPnm4Ow2L9BuivmWT3pu,150,314,2250,1963
0NGM3Ftwjw0dLNpAowmz3x,300,314,2250,1963
0OhNZ7R4dOqtDPLGp0jBAZ,450,314,2250,1963
0PnzJO3D4i85ALVJPaDpru,600,0,2250,1963
0aiTqo8YZI0dKDgcCnkkzP,600,150,2250,1963
0fjJOLqG3v7vXRYhz2wxPC,600,300,2250,1963
0hfFLQzo3OwgYFFFvTQYhT,0,464,2250,1963
0i9mOB6mPGqwVvtJEXiwPG,150,464,2250,1963
0kSkzG0sfuG4lRuFF5jWVr,300,464,2250,1963
0r7o2FeARRr23EZ0TJ0a8S,450,464,2250,1963
0zceG63ENXUsEIejj1UXFa,600,464,2250,1963
0zrtTZC7yY2TOEhnbJzSb9,1950,1046,2250,1963
10v912xgTZbjAtYfyKWJCS,750,0,2250,1963
12X80pgkHSjMDgAAS0HBdr,750,150,2250,1963
12lDqJuZIqMk6DNe1fInFl,300,162,2250,1963
15XNBzVWARPMlu0sEbfBjJ,750,300,2250,1963
15jDv2HgLoilWgd4KWaLQn,2100,296,2250,1963
185DHT5SvszXRrezx3lOjt,750,450,2250,1963
19rYWxZfMdEOxTDODFjLyb,1950,1195,2250,1963
1AqUcQKtf2AQ6rFRKIBei8,0,614,2250,1963
1CsuCA05y9r7ftG9bGGtWV,150,614,2250,1963
1H9g6j4Wwj6wh6p8YHVtkf,300,614,2250,1963
1HmCO8VK98AU6EXPOjGYyI,450,614,2250,1963
1KfXNUbZrdwHMtkAGNBLBq,600,614,2250,1963
1T8usYsiGEMPMQOLFgJEbE,750,614,2250,1963
1d8lF3nZpEIFeEbWmAt9Ey,900,0,2250,1963
1ja2qzCrh6bZykcojbZs82,900,150,2250,1963
1pK8MLyjgvt8pNVkQCBnSg,900,300,2250,1963
1sh32o99zA04PJIUJUpEj7,900,450,2250,1963
1xszIYZw0waqfnGk6le7hg,1950,1344,2250,1963
1yO2d1lmmu0tkDf3trvOm7,900,600,2250,1963
257oomaawruFknt5wYCPDh,0,764,2250,1963
29rkfL25uKOkVOhyr1CmXJ,150,764,2250,1963
2ECSVdWu5RCvYqIRGA0pyR,300,764,2250,1963
2EpuND32cO7CX0gXZl2NB6,450,764,2250,1963
2HOl8gDiGGpt7wsIDi9jy5,600,764,2250,1963
2Jkbi83HTSfqEd0CBdYwpU,750,764,2250,1963
2Q5MwpTmtjscaS34mJFXQQ,2100,1314,2250,1963
2T6GmdIEdFRG9enKTM9uTZ,2100,443,2250,1963
2c0bqDdHYpcyd8eQp55tbO,1950,1493,2250,1963
2cWBwpqMsDJC1ZUwz813lo,1950,1642,2250,1963
2co53OwPjlTvPDQTpErBtU,0,1814,2250,1963
2eia0myWFgoHuttJytCxgX,900,764,2250,1963
2fnWxy7UoIazBiewjgchvm,1050,0,2250,1963
2kzkwgOFAtRsDsas5Hi0Qu,150,1814,2250,1963
2miMVTH3qNA49YD2BUaIWK,1050,150,2250,1963
2sXJQdHykPYcRQ7xFhwzMR,1050,300,2250,1963
2xyhltm9XWSQ5xok4C81BD,1050,450,2250,1963
2yIkYQJevVxZADVieZX1Bx,1050,600,2250,1963
2yMg8ronKfVDHngnlLNnl8,0,162,2250,1963
33puYJ2y5qANDenRmL8BS1,1050,750,2250,1963
36BIYdP4WtviD9Ngqc4SK5,2100,1449,2250,1963
38uGoW7jS8jjJMvZA26sRq,0,914,2250,1963
3ApRy4edE6ZYi081aFpq4s,300,1814,2250,1963
3HZKOk1knxrUU3y5ZIOdbz,150,914,2250,1963
3HhJGNadZnFCkAYrPgSuVR,300,914,2250,1963
3KzAvEXcqJKBF97HrXwlgf,450,914,2250,1963
3LdlOZcV0dp7ePBXe2KAGa,450,1814,2250,1963
3OoFKxuziLv3B3NxhEJwOW,600,914,2250,1963
3VekjWskUut57hx6W9wqL8,300,0,2250,1963
3aGkjugjzDWaETRbbRafoF,750,914,2250,1963
3bEnaGjQRqfoqNkAQtO1Uy,900,914,2250,1963
3bzgbgiytguTDnwzflAZr2,1050,914,2250,1963
3e3PxWKqv7lyZaR5d02abW,1200,0,2250,1963
3mCS3cMduOlki845XA4gDZ,1200,150,2250,1963
3s6wTRMDispMa4gCd26FPc,1200,300,2250,1963
3u1f0ziKFCkqcHUQ0AldCU,1200,450,2250,1963
42Si9RbdXYGWQsfNTzjlnG,1200,600,2250,1963
42WQ76qWDQmHlHvJa6Z3Uw,1050,1814,2250,1963
45StnugV9WQMQwk4rRoTy8,1200,750,2250,1963
4DVBJPJyizvHfJQt5pYaCa,1200,900,2250,1963
4FR8Z6TvIsC56NLyNomNRE,0,1064,2250,1963
4GFWnwli2cVOBp2G1zqhV1,150,1064,2250,1963
4GqPVPXNmpFMpoRnafIfLR,300,1064,2250,1963
4IxN6AdKM6psncLNIwLWUs,450,1064,2250,1963
4K8bxkPDa5HENw0TK7WxJh,1200,1814,2250,1963
4PfgUTGoURqbID40xeSIRP,600,1064,2250,1963
4UY90kcO4N9ZPBl4xPLvvU,750,1064,2250,1963
4UZmpGH8kpAgyZ2yqQ8sP9,900,1064,2250,1963
4UcpKa4yD9AA3iEHI8MFSF,1050,1064,2250,1963
4XfN871nBIz6obaUDEzZXm,1200,1064,2250,1963
4ZImzDF35hQWiN5FdAqQbN,150,162,2250,1963
4ZaIo647CyWAgow8oxqajh,1350,0,2250,1963
4bPT6Q8ppaSNppk1kbEbLl,1350,150,2250,1963
4bSvzPMgzwvfqHAbcWG88o,1350,300,2250,1963
4bi0CKFKviadIaSlkakfN7,1350,450,2250,1963
4f86JGfn6XvGs37HtWNstk,1350,600,2250,1963
4hQ5RfHzq1SGJNfZWrpg7C,1350,750,2250,1963
4i1GgeitxAC8fy48Cwcl54,1350,900,2250,1963
4iaDgkP0M6ahEHrBynAFei,1350,1050,2250,1963
4kca7vXd1Wo5GE2DMafvMc,0,1214,2250,1963
4m9XbflfyP66irnWo3hwZs,2100,1177,2250,1963
4sevefzBUFvJYAzijVBQ2a,150,1214,2250,1963
4vQc378UGRZAaJemArhMpv,300,1214,2250,1963
4xX94uM6Kf972DJurGKnbb,450,1214,2250,1963
592dKHbXtiglWyt8AEet23,2100,1584,2250,1963
59RclwjkzMJTJZNxrfGdLC,600,1214,2250,1963
59plsPcJYFlSA5ImekNQJ0,750,1214,2250,1963
5DM1qCdgGt2zbknnsVn1Ca,900,1214,2250,1963
5EZMcYc3xK0rlru83kHpUe,1050,1214,2250,1963
5LMGAYhn2ywaxGZdtmXGpw,1200,1214,2250,1963
5MTUjDTUWFuyhWW7oRqqmi,1350,1214,2250,1963
5Mtnj5JyvyXR6ui377dBnD,1500,0,2250,1963
5Qcef60m4gcckV24PmPYVq,1500,150,2250,1963
5SC92pfXSbQvZjgfk0oGno,1500,300,2250,1963
5SxBU3zQaLOq5eapsG3jFQ,1500,450,2250,1963
5Tpor3YZBVEJ9tWD5L31mH,1500,600,2250,1963
5UI2X5VAmgu9xrlXDd5U7B,1500,750,2250,1963
5Zx4eUC5dTg6aufiSLQ6uo,1500,900,2250,1963
5ab6RIlAGwbVAacV1JIr2d,1500,1050,2250,1963
5ieP11rJQvuYz0Ov3k03cy,1350,1814,2250,1963
5jkwdY6jS1Hzi8epr6HW7h,1500,1200,2250,1963
5pd9B3KQWKshHw4lnsSLNy,0,1364,2250,1963
5qcOy8sMqROZ0VEfK8LJZt,150,1364,2250,1963
5ttDbNMKXczvp0Z8QRgKs6,300,1364,2250,1963
5tvVCSFJEwNS2oJZVTNEwn,450,1364,2250,1963
5uy9pvgfvVAlZnegK6fPLU,1500,1814,2250,1963
5votrp9PY49suw8xnXqyrm,600,1364,2250,1963
5w3q6GZbw0gsAtvl1c0rmu,750,1364,2250,1963
67NkpPGMcxoIiumOW3oRpL,900,1364,2250,1963
6As5aOEQjfxLIChIB3fQRD,1050,1364,2250,1963
6E7JCQINTT4vwRF4wBcsYk,1200,1364,2250,1963
6GaqU0TlYBKHUiSJ0AT9A2,1350,1364,2250,1963
6Oc6Ok1Oawu8lRkjmD4mXy,1500,1364,2250,1963
6QwHn86Rw53qli3Y6b41Rd,1650,0,2250,1963
6UQujMGmR5MbFsML9amCuN,1650,150,2250,1963
6XZwHDglhO4A0C5Pa4xO4Q,1650,300,2250,1963
6YNIEeDWqC09YIWzhoSVLg,1650,450,2250,1963
6cI1XoZsOhkyrCwtuI70CN,1650,600,2250,1963
6f4mqM3RNAfO1t6XeeUa8P,1650,750,2250,1963
6gMv3MgFlieOM6Uz5GZBzy,1650,900,2250,1963
6iHuSGy6pq4tNGFV3ZVPtl,1650,1814,2250,1963
6iyKqDoL9pRSHUsDBYemlB,1800,1814,2250,1963
6jTUmLtY779ZNYsyugOq2q,1650,1050,2250,1963
6mvI80w5r78niBmwtu7RF9,1650,1200,2250,1963
6mxbG8KrOTZIxlP4gzaliM,1650,1350,2250,1963
6oUeivCrkGIQwM9uSy0N1P,0,1514,2250,1963
6p7jHbG5Bd6z2JgfKx0um7,150,1514,2250,1963
6qfS5de8GAy1G5tk7tyiof,300,1514,2250,1963
6ry5iI1ik4H2DvoiWhluYh,1950,1814,2250,1963
6v5IVMmY1IvWtbfnQoiFSf,450,1514,2250,1963
724hO8VLcKOz9b0y18wA8c,600,1514,2250,1963
73ZRKdD3Ds43IjHrhKgucY,750,1514,2250,1963
73cxqemPE6sVoCkwRuPU6E,600,1814,2250,1963
76oMr4Y2pOtcrvZLc2ZikF,450,0,2250,1963
785WNIAl2zC3OZ6XHjFaIG,900,1514,2250,1963
7IKUTIc9UWuVngyGPtqNHS,1050,1514,2250,1963
7IpcJbVxLLEfW0KXB7ndE2,750,1814,2250,1963
7cAcex6xw4fP67ltgn1gm3,1200,1514,2250,1963
7d9IZA5hVMlRqkRszYt66r,1350,1514,2250,1963
7gTcPv1bE0THbjuvDbK1gq,1500,1514,2250,1963
7gskILm9UyDvFlmmAoqn2g,900,1814,2250,1963
7hez8jibf36E66GHpFkWz7,1650,1514,2250,1963
NOS001,1800,0,2250,1963
NOS002,1800,150,2250,1963
NOS003,1800,300,2250,1963
NOS004,1800,450,2250,1963
NOS005,1800,600,2250,1963
NOS006,1800,750,2250,1963
NOS007,1800,900,2250,1963
NOS008,1800,1050,2250,1963
NOS009,1800,1200,2250,1963
NOS010,1800,1350,2250,1963
NOS011,1800,1500,2250,1963
NOS012,0,1664,2250,1963
NOS113,150,1664,2250,1963
NOS114,450,151,2250,1963
NOS115,300,1664,2250,1963
NOS116,2100,0,2250,1963
NOS117,0,0,2250,1963
NOS118,2100,148,2250,1963
NOS119,450,1664,2250,1963
NOS120,600,1664,2250,1963
NOS121,2100,590,2250,1963
NOS122,2100,1031,2250,1963
NOS123,750,1664,2250,1963
NOS124,150,0,2250,1963
NOS125,900,1664,2250,1963
NOS126,1050,1664,2250,1963
NOS127,1200,1664,2250,1963
NOS128,1350,1664,2250,1963
NOS129,1500,1664,2250,1963
NOS130,1650,1664,2250,1963
NOS131,1800,1664,2250,1963
NOS132,1950,0,2250,1963
NOS133,2100,737,2250,1963
NOS134,1950,150,2250,1963
NOS135,2100,1719,2250,1963
NOS136,2100,884,2250,1963
NOS137,1950,300,2250,1963